LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
SWE,MFP,TOT,AGRWTH,A,1999,0.632528,
SWE,MFP,TOT,AGRWTH,A,2000,2.016595,
SWE,MFP,TOT,AGRWTH,A,2001,-0.484142,
SWE,MFP,TOT,AGRWTH,A,2002,2.10232,
SWE,MFP,TOT,AGRWTH,A,2003,2.116732,
SWE,MFP,TOT,AGRWTH,A,2004,2.581339,
SWE,MFP,TOT,AGRWTH,A,2005,1.592531,
SWE,MFP,TOT,AGRWTH,A,2006,2.136695,
SWE,MFP,TOT,AGRWTH,A,2007,-0.007848,
SWE,MFP,TOT,AGRWTH,A,2008,-2.515037,
SWE,MFP,TOT,AGRWTH,A,2009,-2.847551,
SWE,MFP,TOT,AGRWTH,A,2010,3.563408,
SWE,MFP,TOT,AGRWTH,A,2011,0.719562,
SWE,MFP,TOT,AGRWTH,A,2012,-1.229932,
SWE,MFP,TOT,AGRWTH,A,2013,0.251046,
SWE,MFP,TOT,AGRWTH,A,2014,0.880442,
SWE,MFP,TOT,AGRWTH,A,2015,2.26446,
SWE,MFP,TOT,AGRWTH,A,2016,-0.761459,
SWE,MFP,TOT,AGRWTH,A,2017,0.207013,
SWE,MFP,TOT,AGRWTH,A,2018,-0.170092,
SWE,MFP,TOT,AGRWTH,A,2019,1.32688,
SWE,MFP,TOT,AGRWTH,A,2020,-0.891851,
SWE,MFP,TOT,AGRWTH,A,2021,1.99762,
CHE,MFP,TOT,AGRWTH,A,1992,-0.72992,
CHE,MFP,TOT,AGRWTH,A,1993,-0.565843,
CHE,MFP,TOT,AGRWTH,A,1994,-0.238464,
CHE,MFP,TOT,AGRWTH,A,1995,0.131922,
CHE,MFP,TOT,AGRWTH,A,1996,0.452851,
CHE,MFP,TOT,AGRWTH,A,1997,1.456153,
CHE,MFP,TOT,AGRWTH,A,1998,0.17312,
CHE,MFP,TOT,AGRWTH,A,1999,-1.456939,
CHE,MFP,TOT,AGRWTH,A,2000,1.839389,
CHE,MFP,TOT,AGRWTH,A,2001,0.674958,
CHE,MFP,TOT,AGRWTH,A,2002,-0.958595,
CHE,MFP,TOT,AGRWTH,A,2003,-1.347391,
CHE,MFP,TOT,AGRWTH,A,2004,0.139748,
CHE,MFP,TOT,AGRWTH,A,2005,1.360533,
CHE,MFP,TOT,AGRWTH,A,2006,1.714832,
CHE,MFP,TOT,AGRWTH,A,2007,1.071317,
CHE,MFP,TOT,AGRWTH,A,2008,0.196474,
CHE,MFP,TOT,AGRWTH,A,2009,-3.17309,
CHE,MFP,TOT,AGRWTH,A,2010,2.046662,
CHE,MFP,TOT,AGRWTH,A,2011,-0.59951,
CHE,MFP,TOT,AGRWTH,A,2012,-0.250265,
CHE,MFP,TOT,AGRWTH,A,2013,1.032266,
CHE,MFP,TOT,AGRWTH,A,2014,0.648696,
CHE,MFP,TOT,AGRWTH,A,2015,-0.711525,
CHE,MFP,TOT,AGRWTH,A,2016,0.371111,
CHE,MFP,TOT,AGRWTH,A,2017,0.761941,
CHE,MFP,TOT,AGRWTH,A,2018,1.823242,
CHE,MFP,TOT,AGRWTH,A,2019,0.151942,
CHE,MFP,TOT,AGRWTH,A,2020,-0.278579,
CHE,MFP,TOT,AGRWTH,A,2021,1.527221,
GBR,MFP,TOT,AGRWTH,A,1985,0.969924,
GBR,MFP,TOT,AGRWTH,A,1986,1.875418,
GBR,MFP,TOT,AGRWTH,A,1987,3.004383,
GBR,MFP,TOT,AGRWTH,A,1988,-0.103626,
GBR,MFP,TOT,AGRWTH,A,1989,-0.516178,
GBR,MFP,TOT,AGRWTH,A,1990,-0.565236,
GBR,MFP,TOT,AGRWTH,A,1991,-0.426082,
GBR,MFP,TOT,AGRWTH,A,1992,1.779213,
GBR,MFP,TOT,AGRWTH,A,1993,1.966099,
GBR,MFP,TOT,AGRWTH,A,1994,1.379049,
GBR,MFP,TOT,AGRWTH,A,1995,0.27248,
GBR,MFP,TOT,AGRWTH,A,1996,0.265069,
GBR,MFP,TOT,AGRWTH,A,1997,2.815157,
GBR,MFP,TOT,AGRWTH,A,1998,2.175363,
GBR,MFP,TOT,AGRWTH,A,1999,1.955072,
GBR,MFP,TOT,AGRWTH,A,2000,3.14039,
GBR,MFP,TOT,AGRWTH,A,2001,0.595464,
GBR,MFP,TOT,AGRWTH,A,2002,1.478791,
GBR,MFP,TOT,AGRWTH,A,2003,2.206464,
GBR,MFP,TOT,AGRWTH,A,2004,0.977085,
GBR,MFP,TOT,AGRWTH,A,2005,0.645585,
GBR,MFP,TOT,AGRWTH,A,2006,1.155519,
GBR,MFP,TOT,AGRWTH,A,2007,0.967387,
GBR,MFP,TOT,AGRWTH,A,2008,-0.627325,
GBR,MFP,TOT,AGRWTH,A,2009,-3.437848,
GBR,MFP,TOT,AGRWTH,A,2010,2.024335,
GBR,MFP,TOT,AGRWTH,A,2011,-0.336426,
GBR,MFP,TOT,AGRWTH,A,2012,-0.766137,
GBR,MFP,TOT,AGRWTH,A,2013,0.2238,
GBR,MFP,TOT,AGRWTH,A,2014,0.298844,
GBR,MFP,TOT,AGRWTH,A,2015,1.293405,
GBR,MFP,TOT,AGRWTH,A,2016,-0.454038,
GBR,MFP,TOT,AGRWTH,A,2017,1.329014,
GBR,MFP,TOT,AGRWTH,A,2018,0.165852,
GBR,MFP,TOT,AGRWTH,A,2019,0.169135,
GBR,MFP,TOT,AGRWTH,A,2020,-2.313691,
GBR,MFP,TOT,AGRWTH,A,2021,-0.082925,
USA,MFP,TOT,AGRWTH,A,1985,0.975118,
USA,MFP,TOT,AGRWTH,A,1986,1.238229,
USA,MFP,TOT,AGRWTH,A,1987,0.228399,
USA,MFP,TOT,AGRWTH,A,1988,0.78668,
USA,MFP,TOT,AGRWTH,A,1989,0.435457,
USA,MFP,TOT,AGRWTH,A,1990,0.666502,
USA,MFP,TOT,AGRWTH,A,1991,0.031023,
USA,MFP,TOT,AGRWTH,A,1992,2.561176,
USA,MFP,TOT,AGRWTH,A,1993,0.161483,
USA,MFP,TOT,AGRWTH,A,1994,0.790765,
USA,MFP,TOT,AGRWTH,A,1995,-0.129126,
USA,MFP,TOT,AGRWTH,A,1996,1.665278,
USA,MFP,TOT,AGRWTH,A,1997,0.859565,
USA,MFP,TOT,AGRWTH,A,1998,1.312172,
USA,MFP,TOT,AGRWTH,A,1999,1.786441,
USA,MFP,TOT,AGRWTH,A,2000,1.503881,
USA,MFP,TOT,AGRWTH,A,2001,0.705804,
USA,MFP,TOT,AGRWTH,A,2002,1.616115,
USA,MFP,TOT,AGRWTH,A,2003,2.125157,
USA,MFP,TOT,AGRWTH,A,2004,1.991464,
USA,MFP,TOT,AGRWTH,A,2005,1.419671,
USA,MFP,TOT,AGRWTH,A,2006,0.326555,
USA,MFP,TOT,AGRWTH,A,2007,0.513791,
USA,MFP,TOT,AGRWTH,A,2008,0.098244,
USA,MFP,TOT,AGRWTH,A,2009,1.083466,
USA,MFP,TOT,AGRWTH,A,2010,2.01038,
USA,MFP,TOT,AGRWTH,A,2011,-0.217772,
